"Index";"Charge_Type";"Date";"HV_Code";"Charge_Duration";"Start_Time";"End_Time";"Time_Zone";"DayType";"KWh";"Splits";"Noise"
1;"L1";"5/1/2010";"H001.V001";9;"16:40";NA;"Peak";"W";2,88;FALSE;0
2;"L1";"5/1/2010";"H001.V001";5;"20:20";NA;"Shoulder 2";"W";1,6;FALSE;0
3;"L1";"6/1/2010";"H001.V001";5;"2:10";NA;"Off Peak";"W";1,6;FALSE;0
4;"L1";"7/1/2010";"H001.V001";2;"13:40";NA;"Shoulder 1";"W";0,64;FALSE;0
5;"L1";"8/1/2010";"H001.V001";2;"9:40";NA;"Shoulder 1";"W";0,64;FALSE;0
6;"L1";"8/1/2010";"H001.V001";3;"13:30";NA;"Shoulder 1";"W";0,96;TRUE;0
7;"L1";"8/1/2010";"H001.V001";3;"14:00";NA;"Peak";"W";0,96;TRUE;0
8;"L1";"8/1/2010";"H001.V001";2;"19:40";NA;"Peak";"W";0,64;FALSE;0
9;"L1";"4/1/2010";"H002.V002";2;"3:40";NA;"Off Peak";"W";0,64;FALSE;0
10;"L1";"4/1/2010";"H002.V002";2;"11:50";NA;"Shoulder 1";"W";0,64;FALSE;0
11;"L1";"4/1/2010";"H002.V002";13;"14:20";NA;"Peak";"W";4,16;FALSE;0
12;"L1";"5/1/2010";"H002.V002";11;"10:50";NA;"Shoulder 1";"W";3,52;FALSE;0
13;"L1";"5/1/2010";"H002.V002";5;"15:30";NA;"Peak";"W";1,6;FALSE;0
14;"L1";"7/1/2010";"H002.V002";9;"18:30";NA;"Peak";"W";2,88;FALSE;0
15;"L1";"8/1/2010";"H002.V002";2;"8:40";NA;"Shoulder 1";"W";0,64;FALSE;0
16;"L1";"8/1/2010";"H002.V002";12;"9:30";NA;"Shoulder 1";"W";3,84;FALSE;0
17;"L1";"8/1/2010";"H002.V002";2;"14:10";NA;"Peak";"W";0,64;FALSE;0
18;"L1";"8/1/2010";"H002.V002";11;"14:50";NA;"Peak";"W";3,52;FALSE;0
19;"L1";"8/1/2010";"H002.V002";14;"17:40";NA;"Peak";"W";4,48;TRUE;0
20;"L1";"8/1/2010";"H002.V002";12;"20:00";NA;"Shoulder 2";"W";3,84;TRUE;0
21;"L1";"8/1/2010";"H002.V002";12;"22:00";NA;"Off Peak";"W";3,84;TRUE;0
23;"L1";"4/1/2010";"H002.V003";2;"4:10";NA;"Off Peak";"W";0,64;FALSE;0
22;"L1";"4/1/2010";"H002.V003";2;"11:50";NA;"Shoulder 1";"W";0,64;FALSE;0
24;"L1";"4/1/2010";"H002.V003";5;"22:50";NA;"Off Peak";"W";1,6;FALSE;0
25;"L1";"5/1/2010";"H002.V003";6;"0:10";NA;"Off Peak";"W";1,92;FALSE;0
27;"L1";"5/1/2010";"H002.V003";16;"2:30";NA;"Off Peak";"W";5,12;FALSE;0
26;"L1";"5/1/2010";"H002.V003";1;"21:50";NA;"Shoulder 2";"W";0,32;FALSE;0
28;"L1";"6/1/2010";"H002.V003";2;"3:00";NA;"Off Peak";"W";0,64;FALSE;0
29;"L1";"6/1/2010";"H002.V003";1;"9:20";NA;"Shoulder 1";"W";0,32;FALSE;0
30;"L1";"6/1/2010";"H002.V003";1;"12:30";NA;"Shoulder 1";"W";0,32;FALSE;0
31;"L1";"6/1/2010";"H002.V003";15;"17:00";NA;"Peak";"W";4,8;FALSE;0
32;"L1";"6/1/2010";"H002.V003";1;"21:50";NA;"Shoulder 2";"W";0,32;TRUE;0
33;"L1";"6/1/2010";"H002.V003";7;"22:00";NA;"Off Peak";"W";2,24;TRUE;0
34;"L1";"7/1/2010";"H002.V003";10;"16:10";NA;"Peak";"W";3,2;FALSE;0
35;"L1";"8/1/2010";"H002.V003";1;"13:30";NA;"Shoulder 1";"W";0,32;FALSE;0
36;"L1";"8/1/2010";"H002.V003";4;"16:10";NA;"Peak";"W";1,28;FALSE;0
37;"L1";"8/1/2010";"H002.V003";1;"19:50";NA;"Peak";"W";0,32;TRUE;0
38;"L1";"8/1/2010";"H002.V003";4;"20:00";NA;"Shoulder 2";"W";1,28;TRUE;0
39;"L1";"4/1/2010";"H003.V004";19;"0:00";NA;"Off Peak";"W";6,08;FALSE;0
40;"L1";"7/1/2010";"H003.V004";10;"10:20";NA;"Shoulder 1";"W";3,2;FALSE;0
41;"L1";"7/1/2010";"H003.V004";5;"13:10";NA;"Shoulder 1";"W";1,6;TRUE;0
42;"L1";"7/1/2010";"H003.V004";3;"14:00";NA;"Peak";"W";0,96;TRUE;0
43;"L1";"7/1/2010";"H003.V004";3;"19:00";NA;"Peak";"W";0,96;FALSE;0
44;"L1";"8/1/2010";"H003.V004";4;"9:50";NA;"Shoulder 1";"W";1,28;FALSE;0
46;"L1";"8/1/2010";"H003.V004";5;"13:10";NA;"Shoulder 1";"W";1,6;TRUE;0
47;"L1";"8/1/2010";"H003.V004";4;"14:00";NA;"Peak";"W";1,28;TRUE;0
45;"L1";"8/1/2010";"H003.V004";5;"21:10";NA;"Shoulder 2";"W";1,6;FALSE;0
48;"L1";"4/1/2010";"H004.V005";18;"16:50";NA;"Peak";"W";5,76;FALSE;0
50;"L1";"5/1/2010";"H004.V005";7;"4:20";NA;"Off Peak";"W";2,24;FALSE;0
49;"L1";"5/1/2010";"H004.V005";5;"9:30";NA;"Shoulder 1";"W";1,6;FALSE;0
51;"L1";"6/1/2010";"H004.V005";8;"0:20";NA;"Off Peak";"W";2,56;FALSE;0
52;"L1";"6/1/2010";"H004.V005";9;"16:10";NA;"Peak";"W";2,88;FALSE;0
53;"L1";"6/1/2010";"H004.V005";8;"18:20";NA;"Peak";"W";2,56;FALSE;0
54;"L1";"6/1/2010";"H004.V005";12;"22:10";NA;"Off Peak";"W";3,84;FALSE;0
55;"L1";"7/1/2010";"H004.V005";5;"18:50";NA;"Peak";"W";1,6;FALSE;0
56;"L1";"4/1/2010";"H005.V006";13;"14:30";NA;"Peak";"W";4,16;FALSE;0
57;"L1";"5/1/2010";"H005.V006";11;"16:40";NA;"Peak";"W";3,52;FALSE;0
58;"L1";"6/1/2010";"H005.V006";2;"12:00";NA;"Shoulder 1";"W";0,64;FALSE;0
59;"L1";"6/1/2010";"H005.V006";1;"13:50";NA;"Shoulder 1";"W";0,32;TRUE;0
60;"L1";"6/1/2010";"H005.V006";2;"14:00";NA;"Peak";"W";0,64;TRUE;0
61;"L1";"6/1/2010";"H005.V006";9;"22:30";NA;"Off Peak";"W";2,88;FALSE;0
62;"L1";"7/1/2010";"H005.V006";2;"13:40";NA;"Shoulder 1";"W";0,64;TRUE;0
63;"L1";"7/1/2010";"H005.V006";28;"14:00";NA;"Peak";"W";8,96;TRUE;0
64;"L1";"7/1/2010";"H005.V006";3;"18:50";NA;"Peak";"W";0,96;FALSE;0
65;"L1";"7/1/2010";"H005.V006";42;"22:20";NA;"Off Peak";"W";13,44;FALSE;0
66;"L1";"4/1/2010";"H006.V007";2;"4:40";NA;"Off Peak";"W";0,64;FALSE;0
