a1b1c1;Percentage;Type;Class
0.1;0.03;try = 100;L1 charge type
0.2;0.25;try = 100;L1 charge type
0.3;0.18;try = 100;L1 charge type
0.4;0.34;try = 100;L1 charge type
0.5;0.48;try = 100;L1 charge type
0.1;0.23;try = 1;L1 charge type
0.2;0.53;try = 1;L1 charge type
0.3;0.89;try = 1;L1 charge type
0.4;1.07;try = 1;L1 charge type
0.5;1.19;try = 1;L1 charge type
0.1;0;try = 100;L2 charge type
0.2;0.14;try = 100;L2 charge type
0.3;0.05;try = 100;L2 charge type
0.4;0.27;try = 100;L2 charge type
0.5;0.14;try = 100;L2 charge type
0.1;0.10;try = 1;L2 charge type
0.2;0.23;try = 1;L2 charge type
0.3;0.53;try = 1;L2 charge type
0.4;0.65;try = 1;L2 charge type
0.5;0.8;try = 1;L2 charge type
